Farm,Year,Mgmt,Field,MF,Plot,Subsample,Depth Fraction,Core_Length,Lab,Tot_Wt,Plant_Wt,Rock_Wt,BD_pre,BD
ORG,2016,G,1,G1,C,1,15,14,ORG-G-1-C-1-15,0.85,248.37,1.8,0.528741105,0.53
ORG,2016,G,1,G1,B,3,15,15,ORG-G-1-B-3-15,1.3,330.98,227.99,0.609659659,0.61
ORG,2016,G,1,G1,B,4,15,15,ORG-G-1-B-4-15,1.15,316.52,20.96,0.668475859,0.67
FRF,2016,G,1,G1,C,2,15,15,FRF-G-1-C-2-15,1.1,206.13,53.74,0.69,0.69
ORG,2016,G,1,G1,C,4,15,15,ORG-G-1-C-4-15,1.13,225.81,48.65,0.703869242,0.7
ORG,2016,H,3,H3,C,4,15,15,ORG-H-3-C-4-15,1.03,132.46,30.13,0.71363492,0.71
WNF,2016,G,1,G1,A,4,15,15,WNF-G-1-A-4-15,1.34,181.95,282.47,0.72,0.72
WNF,2016,H,3,H3,B,4,15,15,WNF-H-3-B-4-15,1.11,173.56,0,0.77,0.77
ORG,2016,G,1,G1,A,2,15,15,ORG-G-1-A-2-15,1.09,138.09,6.01,0.778210155,0.78
ORG,2016,G,1,G1,B,5,15,15,ORG-G-1-B-5-15,1.14,146.96,46.54,0.778703787,0.78
ORG,2016,G,1,G1,A,3,15,15,ORG-G-1-A-3-15,1.16,159.73,38.18,0.79152998,0.79
WNF,2016,G,1,G1,B,1,15,15,WNF-G-1-B-1-15,1.27,268.34,20.16,0.81,0.81
FRF,2016,G,1,G1,B,2,15,15,FRF-G-1-B-2-15,1.15,139.6,22.86,0.81,0.81
ORG,2016,G,1,G1,B,2,15,15,ORG-G-1-B-2-15,1.3,277.35,25.98,0.819979612,0.82
ORG,2016,G,1,G1,B,1,15,15,ORG-G-1-B-1-15,1.08,75.16,0,0.826701229,0.83
FRF,2016,H,4,H4,C,5,15,15,FRF-H-4-C-5-15,1.08,57.1,6.94,0.84,0.84
WNF,2016,H,4,H4,B,4,15,15,WNF-H-4-B-4-15,1.22,201.38,1.24,0.84,0.84
WNF,2016,H,4,H4,C,4,15,15,WNF-H-4-C-4-15,1.36,329.72,0,0.85,0.85
WNF,2016,H,3,H3,A,3,15,15,WNF-H-3-A-3-15,1.38,341.33,0,0.85,0.85
FRF,2016,G,1,G1,C,3,15,15,FRF-G-1-C-3-15,1.28,198.43,40.99,0.86,0.86
ORG,2016,G,2,G2,A,4,15,15,ORG-G-2-A-4-15,1.29,132.58,116.06,0.856746936,0.86
ORG,2016,G,1,G1,C,2,15,15,ORG-G-1-C-2-15,1.27,222.41,5.88,0.857034888,0.86
WNF,2016,H,4,H4,B,1,15,15,WNF-H-4-B-1-15,1.33,286.96,0,0.86,0.86
ORG,2016,G,1,G1,C,3,15,15,ORG-G-1-C-3-15,1.17,105.49,19.04,0.860128313,0.86
WNF,2016,G,2,G2,A,2,15,15,WNF-G-2-A-2-15,1.28,226.61,6.65,0.86,0.86
FRF,2016,G,2,G2,C,5,15,15,FRF-G-2-C-5-15,1.21,138.32,24.67,0.86,0.86
ORG,2016,G,1,G1,A,5,15,14,ORG-G-1-A-5-15,1.22,211.92,30.86,0.861404703,0.86
WNF,2016,G,2,G2,B,1,15,15,WNF-G-2-B-1-15,1.23,180.62,0,0.86,0.86
WNF,2016,G,1,G1,B,4,15,15,WNF-G-1-B-4-15,1.4,348.35,0,0.87,0.87
FRF,2016,G,1,G1,C,5,15,15,FRF-G-1-C-5-15,1.16,89.79,14.16,0.87,0.87
ORG,2016,H,4,H4,B,2,15,15,ORG-H-4-B-2-15,1.13,33.95,27.22,0.879347035,0.88
WNF,2016,G,2,G2,C,3,15,15,WNF-G-2-C-3-15,1.2,125.38,2.82,0.88,0.88
WNF,2016,G,2,G2,A,3,15,15,WNF-G-2-A-3-15,1.26,176.04,0,0.89,0.89
WNF,2016,G,1,G1,A,1,15,15,WNF-G-1-A-1-15,1.26,173.32,0.99,0.89,0.89
FRF,2016,G,1,G1,B,5,15,15,FRF-G-1-B-5-15,1.51,70.85,351.9,0.89,0.89
ORG,2016,H,3,H3,B,3,15,15,ORG-H-3-B-3-15,1.44,102.6,250.07,0.894567341,0.89
WNF,2016,H,4,H4,C,3,15,15,WNF-H-4-C-3-15,1.27,177.88,0,0.9,0.9
ORG,2016,G,2,G2,A,2,15,16,ORG-G-2-A-2-15,1.38,4.43,208.42,0.900221994,0.9
WNF,2016,G,2,G2,A,5,15,15,WNF-G-2-A-5-15,1.3,199.81,3.7,0.9,0.9
ORG,2016,G,2,G2,B,2,15,15,ORG-G-2-B-2-15,1.42,105.68,212.49,0.906496771,0.91
WNF,2016,G,1,G1,C,1,15,15,WNF-G-1-C-1-15,1.4,298.08,0,0.91,0.91
FRF,2016,G,1,G1,A,3,15,15,FRF-G-1-A-3-15,1.28,128.58,47.85,0.91,0.91
ORG,2016,H,3,H3,B,4,15,15,ORG-H-3-B-4-15,1.57,151.67,314.02,0.908537114,0.91
WNF,2016,G,2,G2,C,2,15,15,WNF-G-2-C-2-15,1.27,162.71,0,0.91,0.91
FRF,2016,G,2,G2,A,2,15,15,FRF-G-2-A-2-15,1.25,136.88,4.95,0.91,0.91
FRF,2016,H,4,H4,C,1,15,15,FRF-H-4-C-1-15,1.27,79.68,78.31,0.91,0.91
ORG,2016,G,2,G2,A,3,15,15,ORG-G-2-A-3-15,1.26,51.32,89.73,0.920581724,0.92
FRF,2016,G,1,G1,A,2,15,15,FRF-G-1-A-2-15,1.5,94.83,283.94,0.92,0.92
FRF,2016,G,1,G1,B,3,15,15,FRF-G-1-B-3-15,1.32,79.3,118.31,0.92,0.92
ORG,2016,H,4,H4,C,1,15,15,ORG-H-4-C-1-15,1.17,27.38,20.12,0.923502378,0.92
ORG,2016,H,3,H3,C,3,15,15,ORG-H-3-C-3-15,1.3,126.21,50.11,0.924473187,0.92
FRF,2016,H,4,H4,B,2,15,14,FRF-H-4-B-2-15,1.2,150.06,0.64,0.92,0.92
WNF,2016,G,2,G2,B,5,15,15,WNF-G-2-B-5-15,1.27,141.1,3.88,0.93,0.93
WNF,2016,H,3,H3,C,5,15,15,WNF-H-3-C-5-15,1.32,194.96,0,0.93,0.93
WNF,2016,G,2,G2,B,2,15,15,WNF-G-2-B-2-15,1.31,174.58,3.99,0.93,0.93
ORG,2016,G,1,G1,C,5,15,15,ORG-G-1-C-5-15,1.35,194.43,21.66,0.932889605,0.93
WNF,2016,G,2,G2,C,5,15,15,WNF-G-2-C-5-15,1.26,120.14,0,0.94,0.94
WNF,2016,H,3,H3,B,1,15,15,WNF-H-3-B-1-15,1.4,249.62,5.52,0.94,0.94
WNF,2016,H,4,H4,A,2,15,15,WNF-H-4-A-2-15,1.33,183.33,0.76,0.94,0.94
FRF,2016,G,2,G2,B,4,15,15,FRF-G-2-B-4-15,1.2,35.65,18.4,0.94,0.94
WNF,2016,G,1,G1,C,5,15,15,WNF-G-1-C-5-15,1.44,286.75,0,0.95,0.95
ORG,2016,H,3,H3,A,2,15,15,ORG-H-3-A-2-15,1.31,49.48,106.2,0.949681305,0.95
WNF,2016,H,4,H4,A,4,15,15,WNF-H-4-A-4-15,1.36,205.33,0,0.95,0.95
WNF,2016,H,4,H4,C,5,15,15,WNF-H-4-C-5-15,1.24,81.02,0,0.95,0.95
FRF,2016,H,4,H4,B,3,15,15,FRF-H-4-B-3-15,1.49,110.34,215.75,0.96,0.96
ORG,2016,H,3,H3,A,4,15,15,ORG-H-3-A-4-15,1.61,233.9,204.06,0.96425989,0.96
WNF,2016,G,1,G1,C,4,15,15,WNF-G-1-C-4-15,1.49,317.76,0,0.96,0.96
WNF,2016,G,2,G2,C,4,15,15,WNF-G-2-C-4-15,1.25,74.34,0.4,0.97,0.97
ORG,2016,H,4,H4,B,4,15,15,ORG-H-4-B-4-15,1.27,82.59,11.83,0.967172317,0.97
FRF,2016,G,1,G1,A,5,15,15,FRF-G-1-A-5-15,1.51,158.72,175.54,0.97,0.97
ORG,2016,G,2,G2,B,5,15,15,ORG-G-2-B-5-15,1.45,136.34,136.95,0.968101989,0.97
ORG,2016,H,4,H4,C,3,15,15,ORG-H-4-C-3-15,1.26,41.71,40.07,0.969344295,0.97
FRF,2016,H,3,H3,C,2,15,15,FRF-H-3-C-2-15,1.36,171.73,9.88,0.97,0.97
ORG,2016,G,1,G1,A,4,15,15,ORG-G-1-A-4-15,1.38,133.15,64.27,0.972931351,0.97
FRF,2016,G,1,G1,A,4,15,15,FRF-G-1-A-4-15,1.45,142.68,123.22,0.97,0.97
ORG,2016,H,3,H3,B,2,15,15,ORG-H-3-B-2-15,1.39,0,203.33,0.976296273,0.98
ORG,2016,H,3,H3,A,5,15,15,ORG-H-3-A-5-15,1.44,0,253.25,0.976362091,0.98
WNF,2016,G,1,G1,B,3,15,15,WNF-G-1-B-3-15,1.49,296.29,5.74,0.98,0.98
WNF,2016,H,4,H4,B,3,15,15,WNF-H-4-B-3-15,1.37,180.61,0.59,0.98,0.98
FRF,2016,H,3,H3,C,4,15,15,FRF-H-3-C-4-15,1.31,106.87,14,0.98,0.98
FRF,2016,G,2,G2,B,1,15,15,FRF-G-2-B-1-15,1.31,57.05,58.4,0.98,0.98
FRF,2016,H,4,H4,B,1,15,16,FRF-H-4-B-1-15,1.41,65.29,67.75,0.98,0.98
WNF,2016,G,2,G2,A,1,15,15,WNF-G-2-A-1-15,1.45,245.3,1.52,0.99,0.99
WNF,2016,H,3,H3,C,4,15,15,WNF-H-3-C-4-15,1.4,196.09,0,0.99,0.99
FRF,2016,G,2,G2,C,2,15,15,FRF-G-2-C-2-15,1.29,69.74,11.23,0.99,0.99
FRF,2016,H,4,H4,A,5,15,14,FRF-H-4-A-5-15,1.49,119,241.03,1,1
WNF,2016,G,2,G2,B,4,15,15,WNF-G-2-B-4-15,1.35,138.75,0,1,1
WNF,2016,G,2,G2,B,3,15,15,WNF-G-2-B-3-15,1.41,192.3,6.17,1,1
ORG,2016,G,2,G2,C,2,15,15,ORG-G-2-C-2-15,1.38,137.7,29.32,0.997942017,1
WNF,2016,H,4,H4,C,2,15,15,WNF-H-4-C-2-15,1.41,195.32,0,1,1
FRF,2016,H,4,H4,C,3,15,15,FRF-H-4-C-3-15,1.41,136.15,58.28,1,1
FRF,2016,H,3,H3,C,5,15,15,FRF-H-3-C-5-15,1.33,96.04,18.22,1,1
FRF,2016,H,4,H4,A,3,15,15,FRF-H-4-A-3-15,1.3,78.96,3.23,1,1
FRF,2016,G,2,G2,B,5,15,15,FRF-G-2-B-5-15,1.35,90,41.04,1,1
WNF,2016,H,3,H3,C,2,15,15,WNF-H-3-C-2-15,1.44,140.09,77.38,1.01,1.01
WNF,2016,G,1,G1,B,5,15,15,WNF-G-1-B-5-15,1.45,225.92,0.67,1.01,1.01
WNF,2016,G,1,G1,C,3,15,15,WNF-G-1-C-3-15,1.48,256.12,0,1.01,1.01
WNF,2016,H,3,H3,C,1,15,15,WNF-H-3-C-1-15,1.4,175,0,1.01,1.01
FRF,2016,G,1,G1,A,1,15,15,FRF-G-1-A-1-15,1.33,60.56,38.04,1.01,1.01
WNF,2016,G,1,G1,A,5,15,15,WNF-G-1-A-5-15,1.37,118.05,19.74,1.01,1.01
WNF,2016,H,4,H4,C,1,15,15,WNF-H-4-C-1-15,1.45,217.63,0,1.01,1.01
ORG,2016,G,1,G1,A,1,15,15,ORG-G-1-A-1-15,1.33,79.72,15.77,1.015655163,1.02
FRF,2016,H,3,H3,A,5,15,14,FRF-H-3-A-5-15,1.23,71.51,5.49,1.02,1.02
WNF,2016,H,4,H4,A,3,15,15,WNF-H-4-A-3-15,1.43,193.02,0.87,1.02,1.02
WNF,2016,G,2,G2,A,4,15,15,WNF-G-2-A-4-15,1.39,147.97,5.59,1.02,1.02
WNF,2016,H,3,H3,A,4,15,15,WNF-H-3-A-4-15,1.29,52.58,0.52,1.02,1.02
WNF,2016,H,4,H4,A,1,15,15,WNF-H-4-A-1-15,1.42,182.45,0,1.02,1.02
FRF,2016,H,4,H4,A,4,15,15,FRF-H-4-A-4-15,1.35,76.54,35.5,1.02,1.02
FRF,2016,G,2,G2,C,1,15,17,FRF-G-2-C-1-15,1.59,80.97,105.22,1.02,1.02
FRF,2016,G,1,G1,C,4,15,15,FRF-G-1-C-4-15,1.36,83.03,38.1,1.02,1.02
ORG,2016,H,3,H3,A,3,15,15,ORG-H-3-A-3-15,1.41,0,168.84,1.021126246,1.02
FRF,2016,G,2,G2,C,3,15,15,FRF-G-2-C-3-15,1.31,26.48,35.27,1.03,1.03
WNF,2016,H,3,H3,B,3,15,15,WNF-H-3-B-3-15,1.34,83.23,3.63,1.03,1.03
WNF,2016,H,3,H3,B,5,15,15,WNF-H-3-B-5-15,1.33,76.15,0,1.03,1.03
FRF,2016,H,3,H3,B,4,15,15,FRF-H-3-B-4-15,1.35,69.38,18.57,1.04,1.04
FRF,2016,H,3,H3,B,3,15,15,FRF-H-3-B-3-15,1.39,57.63,69.9,1.04,1.04
WNF,2016,G,1,G1,C,2,15,15,WNF-G-1-C-2-15,1.53,251.15,15.27,1.04,1.04
ORG,2016,H,3,H3,B,5,15,15,ORG-H-3-B-5-15,1.41,0,145.23,1.040550648,1.04
FRF,2016,H,3,H3,A,3,15,15,FRF-H-3-A-3-15,1.38,105.13,10.01,1.04,1.04
WNF,2016,H,3,H3,A,2,15,15,WNF-H-3-A-2-15,1.36,89.3,4.75,1.04,1.04
ORG,2016,H,4,H4,A,4,15,15,ORG-H-4-A-4-15,1.37,66.72,35.38,1.043125759,1.04
FRF,2016,H,3,H3,C,1,15,15,FRF-H-3-C-1-15,1.35,65.64,12.88,1.05,1.05
WNF,2016,H,4,H4,A,5,15,15,WNF-H-4-A-5-15,1.38,107.35,0,1.05,1.05
FRF,2016,H,4,H4,C,2,15,15,FRF-H-4-C-2-15,1.38,64.89,42.1,1.05,1.05
ORG,2016,H,4,H4,A,3,15,15,ORG-H-4-A-3-15,1.4,27.93,98.96,1.047412127,1.05
WNF,2016,G,2,G2,C,1,15,15,WNF-G-2-C-1-15,1.38,103.35,2.68,1.05,1.05
WNF,2016,H,4,H4,B,5,15,15,WNF-H-4-B-5-15,1.38,98.9,0,1.05,1.05
FRF,2016,G,1,G1,C,1,15,15,FRF-G-1-C-1-15,1.43,74.1,73.16,1.06,1.06
FRF,2016,G,2,G2,A,1,15,15,FRF-G-2-A-1-15,1.45,109.36,54.17,1.06,1.06
FRF,2016,H,3,H3,A,2,15,14,FRF-H-3-A-2-15,1.24,33.53,5.64,1.06,1.06
FRF,2016,H,3,H3,B,1,15,15,FRF-H-3-B-1-15,1.34,21.41,29.61,1.06,1.06
ORG,2016,G,2,G2,B,4,15,15,ORG-G-2-B-4-15,1.51,48.12,169.13,1.063570333,1.06
WNF,2016,G,1,G1,A,2,15,15,WNF-G-1-A-2-15,1.46,66.37,95,1.07,1.07
FRF,2016,G,1,G1,B,4,15,15,FRF-G-1-B-4-15,1.51,40.5,170.76,1.07,1.07
FRF,2016,H,4,H4,B,5,15,15,FRF-H-4-B-5-15,1.52,94.72,123.35,1.07,1.07
FRF,2016,H,4,H4,A,1,15,14,FRF-H-4-A-1-15,1.29,66.42,7.44,1.07,1.07
FRF,2016,G,1,G1,B,1,15,15,FRF-G-1-B-1-15,1.4,38.6,55.3,1.07,1.07
ORG,2016,H,4,H4,C,2,15,14,ORG-H-4-C-2-15,1.3,4.04,74.43,1.076760286,1.08
WNF,2016,H,3,H3,B,2,15,15,WNF-H-3-B-2-15,1.37,60.3,0,1.08,1.08
FRF,2016,H,4,H4,C,4,15,15,FRF-H-4-C-4-15,1.47,90.84,66.3,1.08,1.08
FRF,2016,G,2,G2,A,5,15,15,FRF-G-2-A-5-15,1.46,136.84,9.66,1.08,1.08
WNF,2016,H,3,H3,A,1,15,15,WNF-H-3-A-1-15,1.39,76.18,0,1.08,1.08
FRF,2016,H,3,H3,B,2,15,14,FRF-H-3-B-2-15,1.3,61.98,10.98,1.08,1.08
FRF,2016,H,4,H4,A,2,15,15,FRF-H-4-A-2-15,1.48,57.43,102.33,1.09,1.09
FRF,2016,G,2,G2,A,3,15,15,FRF-G-2-A-3-15,1.4,60.66,18.21,1.09,1.09
ORG,2016,G,2,G2,B,3,15,15,ORG-G-2-B-3-15,1.44,57.36,59.24,1.088786679,1.09
WNF,2016,H,3,H3,C,3,15,15,WNF-H-3-C-3-15,1.51,183.05,0,1.09,1.09
FRF,2016,H,4,H4,B,4,15,15,FRF-H-4-B-4-15,1.48,57.12,94.07,1.09,1.09
ORG,2016,G,2,G2,A,5,15,15,ORG-G-2-A-5-15,1.47,18.7,114.31,1.099967433,1.1
ORG,2016,H,3,H3,A,1,15,15,ORG-H-3-A-1-15,1.73,237,150.37,1.10460757,1.1
ORG,2016,G,2,G2,B,1,15,15,ORG-G-2-B-1-15,1.49,41.03,102.14,1.108062991,1.11
FRF,2016,G,2,G2,B,3,15,15,FRF-G-2-B-3-15,1.46,47.55,63.04,1.11,1.11
FRF,2016,H,3,H3,C,3,15,15,FRF-H-3-C-3-15,1.42,55.99,12.71,1.11,1.11
ORG,2016,G,2,G2,A,1,15,15,ORG-G-2-A-1-15,1.62,213.53,48.33,1.117367946,1.12
WNF,2016,G,1,G1,A,3,15,15,WNF-G-1-A-3-15,1.56,128.46,72.64,1.12,1.12
FRF,2016,H,3,H3,A,1,15,15,FRF-H-3-A-1-15,1.41,46.33,4.11,1.12,1.12
FRF,2016,H,3,H3,A,4,15,15,FRF-H-3-A-4-15,1.41,46.11,0,1.12,1.12
ORG,2016,H,4,H4,A,2,15,15,ORG-H-4-A-2-15,1.53,38.25,120.37,1.128260749,1.13
ORG,2016,H,4,H4,B,5,15,15,ORG-H-4-B-5-15,1.63,52.14,205.5,1.129067014,1.13
WNF,2016,H,4,H4,B,2,15,15,WNF-H-4-B-2-15,1.57,188.8,0,1.14,1.14
ORG,2016,H,3,H3,C,2,15,15,ORG-H-3-C-2-15,1.49,39.4,69.37,1.136364534,1.14
FRF,2016,G,2,G2,A,4,15,15,FRF-G-2-A-4-15,1.52,61.29,65.95,1.15,1.15
ORG,2016,G,2,G2,C,4,15,15,ORG-G-2-C-4-15,1.56,85.19,77.39,1.149684359,1.15
ORG,2016,H,4,H4,C,5,15,15,ORG-H-4-C-5-15,1.51,31.83,74.02,1.155221259,1.16
ORG,2016,G,2,G2,C,1,15,15,ORG-G-2-C-1-15,1.47,38.19,23.24,1.158857679,1.16
ORG,2016,H,4,H4,B,1,15,15,ORG-H-4-B-1-15,1.5,41.94,48.98,1.159277265,1.16
ORG,2016,H,3,H3,B,1,15,15,ORG-H-3-B-1-15,1.57,0,159.63,1.160338573,1.16
ORG,2016,G,2,G2,C,5,15,15,ORG-G-2-C-5-15,1.58,98.34,66.66,1.164147764,1.16
WNF,2016,H,3,H3,A,5,15,15,WNF-H-3-A-5-15,1.58,164.85,0,1.16,1.16
ORG,2016,H,3,H3,C,5,15,15,ORG-H-3-C-5-15,1.54,111.65,10.9,1.166163426,1.17
ORG,2016,H,4,H4,A,5,15,15,ORG-H-4-A-5-15,1.68,247.18,10.44,1.170219432,1.17
FRF,2016,G,2,G2,B,2,15,15,FRF-G-2-B-2-15,1.47,1.53,44.97,1.17,1.17
