Farm,Year,Mgmt,Field,MF,Plot,Subsample,Depth Fraction,Core_Length,Lab,Tot_Wt,Plant_Wt,Rock_Wt,BD_pre,BD
ORG,2016,G,2,G2,B,4,30,15,ORG-G-2-B-4-30,2.17,0,21.1,1.767941434,1.77
ORG,2016,H,3,H3,B,5,30,15,ORG-H-3-B-5-30,2.25,0,53.59,1.807028826,1.81
FRF,2016,H,4,H4,B,5,30,15,FRF-H-4-B-5-30,2.51,0,197.59,1.9,1.9
ORG,2016,H,4,H4,C,1,30,15,ORG-H-4-C-1-30,2.43,0,105.52,1.912394483,1.91
ORG,2016,H,3,H3,B,2,30,15,ORG-H-3-B-2-30,2.49,0,84.94,1.978689202,1.98
WNF,2016,G,1,G1,B,1,30,15,WNF-G-1-B-1-30,2.48,1.31,6.24,2.03,2.03
ORG,2016,H,3,H3,C,1,30,15,ORG-H-3-C-1-30,2.97,0,76.15,2.380826152,2.38
ORG,2016,H,3,H3,A,4,30,9,ORG-H-3-A-4-30,2.05,0,235.09,2.488602376,2.49
ORG,2016,H,4,H4,A,2,30,8,ORG-H-4-A-2-30,2.03,0,179.3,1.522606548,2.85
WNF,2016,G,2,G2,A,2,50,17,WNF-G-2-A-2-47,2.46,0,0,1.79,1.79
WNF,2016,H,4,H4,C,2,50,19,WNF-H-4-C-2-49,2.7,0,2.6,1.75,1.75
FRF,2016,G,1,G1,B,4,50,20,FRF-G-1-B-4-50,,,,0,0
FRF,2016,H,3,H3,B,2,50,20,FRF-H-3-B-2-50,,,,0,0
FRF,2016,H,3,H3,B,3,50,20,FRF-H-3-B-3-50,,,,0,0
FRF,2016,H,3,H3,B,4,50,20,FRF-H-3-B-4-50,,,,0,0
FRF,2016,H,3,H3,B,5,50,20,FRF-H-3-B-5-50,,,,0,0
FRF,2016,H,4,H4,B,1,50,20,FRF-H-4-B-1-50,,,,0,0
FRF,2016,H,4,H4,C,1,50,20,FRF-H-4-C-1-50,,,,0,0
WNF,2016,G,1,G1,A,3,50,20,WNF-G-1-A-3-50,0,0,0,0,0
ORG,2016,G,1,G1,A,4,50,20,ORG-G-1-A-4-50,,,,0,0
ORG,2016,G,1,G1,B,2,50,20,ORG-G-1-B-2-50,,,,0,0
ORG,2016,G,1,G1,B,5,50,20,ORG-G-1-B-5-50,,,,0,0
ORG,2016,G,2,G2,A,1,50,20,ORG-G-2-A-1-50,,,,0,0
ORG,2016,G,2,G2,A,2,50,20,ORG-G-2-A-2-50,,,,0,0
ORG,2016,H,4,H4,A,3,50,20,ORG-H-4-A-3-50,,,,0,0
ORG,2016,H,4,H4,A,5,50,20,ORG-H-4-A-5-50,,,,0,0
ORG,2016,H,4,H4,B,1,50,20,ORG-H-4-B-1-50,,,,0,0
ORG,2016,H,4,H4,B,5,50,20,ORG-H-4-B-5-50,,,,0,0
ORG,2016,G,1,G1,A,3,50,20,ORG-G-1-A-3-50,0.95,0,595.62,0.218666441,0.22
FRF,2016,H,4,H4,A,2,50,20,FRF-H-4-A-2-50,0.59,0,38.52,0.34,0.34
ORG,2016,G,1,G1,A,2,50,20,ORG-G-1-A-2-50,1.27,1.79,365.87,0.556779378,0.56
FRF,2016,H,4,H4,B,3,50,5,FRF-H-4-B-3-50,0.33,0,94.83,0.58,0.58
FRF,2016,H,4,H4,B,5,50,20,FRF-H-4-B-5-50,1.7,0,402.06,0.8,0.8
ORG,2016,H,3,H3,A,4,50,20,ORG-H-3-A-4-50,2.17,0,584.8,0.978130937,0.98
ORG,2016,H,3,H3,A,2,50,19,ORG-H-3-A-2-50,2.02,0,451.4,1.01882956,1.02
ORG,2016,H,3,H3,B,4,50,20,ORG-H-3-B-4-50,1.97,0,302.16,1.029123077,1.03
FRF,2016,H,4,H4,A,4,50,20,FRF-H-4-A-4-50,1.75,0,65.56,1.04,1.04
FRF,2016,G,1,G1,B,5,50,20,FRF-G-1-B-5-50,2.23,0,489.82,1.07,1.07
FRF,2016,G,2,G2,B,1,50,20,FRF-G-2-B-1-50,2.19,0,379.35,1.12,1.12
FRF,2016,G,2,G2,C,5,50,20,FRF-G-2-C-5-50,2.09,0,272.42,1.12,1.12
ORG,2016,G,1,G1,C,3,50,20,ORG-G-1-C-3-50,1.96,0,90.13,1.153783558,1.15
FRF,2016,G,1,G1,A,4,50,16,FRF-G-1-A-4-50,2.07,0,567.16,1.16,1.16
FRF,2016,G,1,G1,C,2,50,20,FRF-G-1-C-2-50,2.25,0,352.43,1.17,1.17
FRF,2016,H,4,H4,B,2,50,10,FRF-H-4-B-2-50,1.56,0,611.04,1.17,1.17
ORG,2016,G,1,G1,C,4,50,20,ORG-G-1-C-4-50,2.03,0,126.93,1.174269267,1.17
ORG,2016,G,1,G1,A,1,50,20,ORG-G-1-A-1-50,2.25,0,342.3,1.17712616,1.18
FRF,2016,G,1,G1,C,4,50,13,FRF-G-1-C-4-50,1.48,0,237.2,1.18,1.18
FRF,2016,G,1,G1,B,3,50,14,FRF-G-1-B-3-50,1.53,0,188.92,1.18,1.18
FRF,2016,G,1,G1,A,1,50,15,FRF-G-1-A-1-50,1.84,0,391.59,1.19,1.19
ORG,2016,G,1,G1,C,1,50,20,ORG-G-1-C-1-50,2,0,51.55,1.202270518,1.2
FRF,2016,G,2,G2,B,5,50,20,FRF-G-2-B-5-50,2.11,0,159.98,1.2,1.2
FRF,2016,H,3,H3,A,1,50,20,FRF-H-3-A-1-50,2.07,0,89.92,1.22,1.22
FRF,2016,G,2,G2,B,3,50,11,FRF-G-2-B-3-50,1.29,0,188.81,1.24,1.24
FRF,2016,H,3,H3,A,2,50,20,FRF-H-3-A-2-50,2.03,0,16.48,1.24,1.24
ORG,2016,H,3,H3,A,3,50,20,ORG-H-3-A-3-50,2.26,0,235.24,1.249356798,1.25
FRF,2016,H,3,H3,A,4,50,20,FRF-H-3-A-4-50,2.22,0,186,1.26,1.26
FRF,2016,H,3,H3,A,3,50,20,FRF-H-3-A-3-50,2.11,0,71.12,1.26,1.26
FRF,2016,H,3,H3,C,1,50,20,FRF-H-3-C-1-50,2.3,0,258.58,1.26,1.26
ORG,2016,G,1,G1,C,5,50,20,ORG-G-1-C-5-50,2.14,0,90.49,1.264628524,1.26
ORG,2016,G,1,G1,A,5,50,20,ORG-G-1-A-5-50,2.42,0,370.09,1.26487534,1.26
FRF,2016,H,4,H4,C,5,50,20,FRF-H-4-C-5-50,2.38,0,329.22,1.27,1.27
WNF,2016,G,1,G1,A,5,50,20,WNF-G-1-A-5-50,2.53,1.48,461.38,1.28,1.28
ORG,2016,G,2,G2,A,3,50,20,ORG-G-2-A-3-50,3,0,932.28,1.275864813,1.28
FRF,2016,G,1,G1,C,1,50,20,FRF-G-1-C-1-50,2.26,0,183.1,1.28,1.28
FRF,2016,H,3,H3,B,1,50,20,FRF-H-3-B-1-50,2.22,0,124.01,1.29,1.29
FRF,2016,H,3,H3,C,5,50,20,FRF-H-3-C-5-50,2.38,0,273,1.3,1.3
FRF,2016,G,1,G1,B,1,50,12,FRF-G-1-B-1-50,1.41,0,139.73,1.31,1.31
FRF,2016,H,4,H4,B,4,50,20,FRF-H-4-B-4-50,3.28,0,1155.66,1.31,1.31
FRF,2016,G,1,G1,B,2,50,20,FRF-G-1-B-2-50,2.36,0,234.55,1.31,1.31
ORG,2016,H,3,H3,B,1,50,20,ORG-H-3-B-1-50,2.35,0,196.8,1.328609345,1.33
ORG,2016,H,3,H3,C,3,50,20,ORG-H-3-C-3-50,2.35,0,174.64,1.342282939,1.34
FRF,2016,H,3,H3,C,4,50,20,FRF-H-3-C-4-50,2.33,0,139.95,1.35,1.35
FRF,2016,G,1,G1,A,2,50,20,FRF-G-1-A-2-50,2.35,0,154.16,1.35,1.35
FRF,2016,G,1,G1,A,5,50,20,FRF-G-1-A-5-50,2.58,1.34,382.62,1.36,1.36
FRF,2016,G,2,G2,B,2,50,12,FRF-G-2-B-2-50,1.54,0,203.38,1.37,1.37
FRF,2016,H,4,H4,A,1,50,20,FRF-H-4-A-1-50,2.56,0,331.18,1.38,1.38
FRF,2016,G,1,G1,C,5,50,20,FRF-G-1-C-5-50,2.63,0,395.92,1.38,1.38
ORG,2016,H,4,H4,B,4,50,20,ORG-H-4-B-4-50,2.43,0,191,1.38155133,1.38
ORG,2016,H,4,H4,C,5,50,20,ORG-H-4-C-5-50,2.57,1.92,326.77,1.382976691,1.38
ORG,2016,H,3,H3,B,3,50,20,ORG-H-3-B-3-50,2.5,0,255.98,1.384648868,1.38
FRF,2016,H,3,H3,A,5,50,20,FRF-H-3-A-5-50,2.33,0,80.11,1.39,1.39
ORG,2016,G,1,G1,B,1,50,20,ORG-G-1-B-1-50,2.26,0,9.28,1.388783032,1.39
ORG,2016,H,4,H4,C,1,50,20,ORG-H-4-C-1-50,2.36,0,107.2,1.390066474,1.39
ORG,2016,G,2,G2,B,4,50,20,ORG-G-2-B-4-50,2.52,0,264.85,1.391516517,1.39
FRF,2016,H,3,H3,C,3,50,20,FRF-H-3-C-3-50,2.57,0,306.5,1.4,1.4
ORG,2016,H,3,H3,C,1,50,19,ORG-H-3-C-1-50,2.25,0,96.72,1.398588114,1.4
FRF,2016,H,4,H4,C,2,50,19,FRF-H-4-C-2-50,2.26,0,106.3,1.4,1.4
FRF,2016,G,2,G2,C,3,50,20,FRF-G-2-C-3-50,2.34,0,48.84,1.41,1.41
FRF,2016,H,3,H3,C,2,50,20,FRF-H-3-C-2-50,2.43,0,131.33,1.42,1.42
WNF,2016,G,1,G1,A,4,50,20,WNF-G-1-A-4-50,2.5,0.82,199.05,1.42,1.42
ORG,2016,H,4,H4,C,4,50,20,ORG-H-4-C-4-50,2.61,0,298.99,1.425984341,1.43
FRF,2016,G,2,G2,C,2,50,20,FRF-G-2-C-2-50,2.52,0,186.5,1.44,1.44
FRF,2016,G,2,G2,B,4,50,7,FRF-G-2-B-4-50,0.98,0,162.41,1.44,1.44
FRF,2016,G,2,G2,C,1,50,20,FRF-G-2-C-1-50,2.75,0,409.02,1.44,1.44
ORG,2016,G,2,G2,B,2,50,17,ORG-G-2-B-2-50,2.1,0.67,109.33,1.444598243,1.44
ORG,2016,H,3,H3,C,5,50,20,ORG-H-3-C-5-50,2.5,0,142.36,1.45475689,1.45
ORG,2016,G,2,G2,A,5,50,20,ORG-G-2-A-5-50,2.8,0,396.61,1.482986445,1.48
FRF,2016,H,4,H4,A,3,50,20,FRF-H-4-A-3-50,2.57,0,161.69,1.49,1.49
ORG,2016,G,2,G2,B,5,50,20,ORG-G-2-B-5-50,2.58,0.72,160.14,1.492704817,1.49
FRF,2016,G,2,G2,C,4,50,20,FRF-G-2-C-4-50,2.57,0,148.01,1.49,1.49
FRF,2016,G,2,G2,A,4,50,13,FRF-G-2-A-4-50,1.7,0,121.88,1.5,1.5
FRF,2016,G,1,G1,A,3,50,7,FRF-G-1-A-3-50,0.93,0,63.49,1.53,1.53
ORG,2016,H,4,H4,C,2,50,20,ORG-H-4-C-2-50,2.68,3.44,178.18,1.541599023,1.54
ORG,2016,H,3,H3,C,4,50,20,ORG-H-3-C-4-50,2.53,0,29.59,1.542851613,1.54
ORG,2016,H,3,H3,A,1,50,20,ORG-H-3-A-1-50,2.86,0.47,358.82,1.543036725,1.54
FRF,2016,H,4,H4,C,3,50,20,FRF-H-4-C-3-50,2.71,0,204.39,1.55,1.55
ORG,2016,H,4,H4,A,1,50,20,ORG-H-4-A-1-50,2.92,0,410.12,1.548694976,1.55
ORG,2016,H,4,H4,A,2,50,20,ORG-H-4-A-2-50,2.95,0,410.51,1.566965515,1.57
ORG,2016,G,2,G2,A,4,50,20,ORG-G-2-A-4-50,3.04,4.21,495.79,1.567280205,1.57
FRF,2016,H,4,H4,C,4,50,20,FRF-H-4-C-4-50,2.66,0,111.1,1.57,1.57
ORG,2016,H,4,H4,C,3,50,20,ORG-H-4-C-3-50,2.71,0,159.89,1.573518473,1.57
FRF,2016,G,2,G2,A,3,50,14,FRF-G-2-A-3-50,1.93,0,135.97,1.58,1.58
FRF,2016,G,1,G1,C,3,50,13,FRF-G-1-C-3-50,1.72,0,41.46,1.59,1.59
ORG,2016,G,2,G2,B,3,50,20,ORG-G-2-B-3-50,2.68,0.87,89.37,1.597984088,1.6
FRF,2016,H,4,H4,A,5,50,20,FRF-H-4-A-5-50,2.82,0,215.77,1.61,1.61
ORG,2016,H,3,H3,B,2,50,20,ORG-H-3-B-2-50,2.81,0,204.69,1.607579051,1.61
ORG,2016,G,2,G2,C,2,50,20,ORG-G-2-C-2-50,2.69,0.78,66.98,1.618025529,1.62
ORG,2016,H,3,H3,C,2,50,20,ORG-H-3-C-2-50,2.78,0,148.1,1.62398613,1.62
WNF,2016,G,1,G1,A,2,50,20,WNF-G-1-A-2-50,2.76,1.32,114.39,1.63,1.63
ORG,2016,G,2,G2,C,3,50,20,ORG-G-2-C-3-50,2.8,0.17,117.56,1.655066407,1.66
ORG,2016,H,4,H4,A,4,50,20,ORG-H-4-A-4-50,3.06,0,348.7,1.672979063,1.67
ORG,2016,G,1,G1,B,4,50,20,ORG-G-1-B-4-50,2.82,0,101.32,1.677532814,1.68
FRF,2016,G,2,G2,A,2,50,15,FRF-G-2-A-2-50,2.23,0,184.37,1.68,1.68
FRF,2016,G,2,G2,A,5,50,7,FRF-G-2-A-5-50,1.09,0,134.8,1.68,1.68
ORG,2016,G,1,G1,B,3,50,20,ORG-G-1-B-3-50,2.76,0,8.28,1.697919797,1.7
WNF,2016,G,1,G1,C,3,50,20,WNF-G-1-C-3-50,2.76,0.27,5.94,1.7,1.7
WNF,2016,H,3,H3,A,4,50,20,WNF-H-3-A-4-50,2.76,0,0,1.7,1.7
ORG,2016,G,2,G2,C,1,50,20,ORG-G-2-C-1-50,2.87,0.55,100.04,1.708835225,1.71
ORG,2016,G,2,G2,C,4,50,20,ORG-G-2-C-4-50,2.81,0.48,28.24,1.716159483,1.72
ORG,2016,G,1,G1,C,2,50,20,ORG-G-1-C-2-50,3.05,0,243.81,1.731529936,1.73
WNF,2016,H,4,H4,A,5,50,20,WNF-H-4-A-5-50,2.82,0,0,1.74,1.74
ORG,2016,H,4,H4,B,2,50,20,ORG-H-4-B-2-50,2.92,0,93.53,1.744043496,1.74
ORG,2016,H,4,H4,B,3,50,20,ORG-H-4-B-3-50,2.95,0,122.9,1.744432231,1.74
ORG,2016,G,2,G2,C,5,50,20,ORG-G-2-C-5-50,2.9,0.48,70.79,1.745438005,1.75
WNF,2016,H,3,H3,A,3,50,20,WNF-H-3-A-3-50,2.83,0,0,1.75,1.75
WNF,2016,H,4,H4,A,4,50,20,WNF-H-4-A-4-50,2.86,0,0,1.76,1.76
WNF,2016,G,2,G2,A,1,50,20,WNF-G-2-A-1-50,2.88,0,0,1.78,1.78
WNF,2016,H,4,H4,A,2,50,20,WNF-H-4-A-2-50,2.91,0,0,1.8,1.8
WNF,2016,H,3,H3,A,5,50,20,WNF-H-3-A-5-50,2.96,0,0,1.83,1.83
WNF,2016,H,4,H4,C,3,50,20,WNF-H-4-C-3-50,2.97,0,2.5,1.83,1.83
WNF,2016,G,2,G2,B,1,50,20,WNF-G-2-B-1-50,2.99,0,6.37,1.84,1.84
WNF,2016,G,1,G1,A,1,50,20,WNF-G-1-A-1-50,3.01,0,13.91,1.85,1.85
WNF,2016,H,3,H3,C,2,50,20,WNF-H-3-C-2-50,3.01,0,3.24,1.86,1.86
WNF,2016,H,3,H3,C,1,50,20,WNF-H-3-C-1-50,3.01,0,0,1.86,1.86
WNF,2016,H,4,H4,C,1,50,20,WNF-H-4-C-1-50,3.03,0,2.27,1.87,1.87
WNF,2016,H,3,H3,B,1,50,20,WNF-H-3-B-1-50,3.07,0,0,1.89,1.89
WNF,2016,H,3,H3,B,4,50,20,WNF-H-3-B-4-50,3.1,0,0,1.91,1.91
WNF,2016,H,3,H3,B,5,50,20,WNF-H-3-B-5-50,3.1,0,0,1.91,1.91
WNF,2016,G,2,G2,B,5,50,20,WNF-G-2-B-5-50,3.13,0,24.07,1.92,1.92
WNF,2016,H,4,H4,A,3,50,20,WNF-H-4-A-3-50,3.11,0,0,1.92,1.92
ORG,2016,H,3,H3,B,5,50,10,ORG-H-3-B-5-50,1.6,0,41.11,1.923793258,1.92
WNF,2016,H,4,H4,C,5,50,20,WNF-H-4-C-5-50,3.12,0,1.16,1.92,1.92
WNF,2016,H,3,H3,A,2,50,20,WNF-H-3-A-2-50,3.12,0,0,1.93,1.93
WNF,2016,H,3,H3,B,2,50,20,WNF-H-3-B-2-50,3.14,0,0,1.94,1.94
WNF,2016,G,2,G2,B,2,50,20,WNF-G-2-B-2-50,3.15,0,0,1.94,1.94
WNF,2016,H,3,H3,B,3,50,20,WNF-H-3-B-3-50,3.15,0,0,1.94,1.94
WNF,2016,G,1,G1,B,3,50,20,WNF-G-1-B-3-50,3.16,0,0,1.95,1.95
WNF,2016,G,1,G1,C,1,50,20,WNF-G-1-C-1-50,3.16,0,0,1.95,1.95
WNF,2016,G,1,G1,B,1,50,20,WNF-G-1-B-1-50,3.17,0,0,1.96,1.96
WNF,2016,G,1,G1,C,5,50,20,WNF-G-1-C-5-50,3.17,0,0,1.96,1.96
WNF,2016,G,2,G2,C,1,50,20,WNF-G-2-C-1-50,3.18,0,4.08,1.96,1.96
WNF,2016,H,4,H4,C,4,50,20,WNF-H-4-C-4-50,3.21,0,12.06,1.97,1.97
WNF,2016,G,1,G1,C,4,50,20,WNF-G-1-C-4-50,3.2,0.5,0,1.97,1.97
ORG,2016,G,2,G2,B,1,50,10,ORG-G-2-B-1-50,2.04,0,438.3,1.976624176,1.98
WNF,2016,H,3,H3,C,3,50,20,WNF-H-3-C-3-50,3.22,0,12.45,1.98,1.98
WNF,2016,G,1,G1,B,2,50,20,WNF-G-1-B-2-50,3.21,0,0,1.98,1.98
WNF,2016,G,1,G1,B,4,50,20,WNF-G-1-B-4-50,3.21,0,0,1.98,1.98
WNF,2016,G,1,G1,C,2,50,20,WNF-G-1-C-2-50,3.22,0,0,1.99,1.99
WNF,2016,H,4,H4,B,2,50,20,WNF-H-4-B-2-50,3.22,0,0,1.99,1.99
ORG,2016,H,3,H3,A,5,50,10,ORG-H-3-A-5-50,2.01,0,394.27,1.993938303,1.99
WNF,2016,G,2,G2,C,5,50,20,WNF-G-2-C-5-50,3.24,0,0,2,2
WNF,2016,H,4,H4,A,1,50,20,WNF-H-4-A-1-50,3.24,0,0,2,2
WNF,2016,H,4,H4,B,1,50,20,WNF-H-4-B-1-50,3.25,0,1.16,2,2
WNF,2016,G,1,G1,B,5,50,20,WNF-G-1-B-5-50,3.26,0,0,2.01,2.01
WNF,2016,H,3,H3,C,4,50,20,WNF-H-3-C-4-50,3.29,0,3.54,2.03,2.03
WNF,2016,G,2,G2,C,2,50,20,WNF-G-2-C-2-50,3.29,0,1.04,2.03,2.03
WNF,2016,G,2,G2,A,4,50,20,WNF-G-2-A-4-50,3.3,0,0,2.04,2.04
WNF,2016,H,3,H3,A,1,50,20,WNF-H-3-A-1-50,3.31,0,0,2.04,2.04
WNF,2016,G,2,G2,C,4,50,20,WNF-G-2-C-4-50,3.32,0,0,2.05,2.05
WNF,2016,H,4,H4,B,3,50,20,WNF-H-4-B-3-50,3.32,0,0,2.05,2.05
WNF,2016,G,2,G2,B,4,50,20,WNF-G-2-B-4-50,3.33,0,1.38,2.05,2.05
WNF,2016,G,2,G2,B,3,50,20,WNF-G-2-B-3-50,3.33,0,0,2.05,2.05
WNF,2016,G,2,G2,C,3,50,20,WNF-G-2-C-3-50,3.34,0,0,2.06,2.06
WNF,2016,H,4,H4,B,4,50,20,WNF-H-4-B-4-50,3.35,0,0,2.07,2.07
WNF,2016,H,4,H4,B,5,50,20,WNF-H-4-B-5-50,3.36,0,0,2.07,2.07
WNF,2016,H,3,H3,C,5,50,20,WNF-H-3-C-5-50,3.37,0,5.17,2.08,2.08
WNF,2016,G,2,G2,A,3,50,20,WNF-G-2-A-3-50,3.43,0,0,2.12,2.12
FRF,2016,G,2,G2,A,1,50,6,FRF-G-2-A-1-50,1.18,0,119.62,2.18,2.18
WNF,2016,G,2,G2,A,5,50,20,WNF-G-2-A-5-50,3.56,0,0,2.2,2.2
